"","id","nome","ticker","mkt_cap","classe","retorno_total","ROE","ROA","ROIC","lucro_bruto","LPA_growth","alav_BS","EBIT_DivLiq","ativo_growth","desvpad_ret","sharpe_economatica","div_yld","LPA_se","sharpe_calc","provisoes"
"65",240,"Taurus Armas","TASA4",363070.74,"PN",-60.758941433,18.957337843,6.7975375608,17.95660568,251464,58.552246258,43.549039465,158.34655411,155.02752553,10.527042467,-0.080368992803,62.805424843,0.77792356722,-0.067044645252,17731
"66",96,"Eternit","ETER3",365722.7,"ON",-41.954998516,34.911797205,21.04514283,36.612540657,242747,194.21911432,3.5689078714,-514.03985911,22.580194239,6.1944864297,-0.24624044895,311.26415094,0.81493349017,-0.052957497484,43760
"67",53,"Cogna ON","COGN3",379778.35714,"ON",NA,6.9732303479,5.684481994,12.759818106,99634,NA,4.0217065696,-24.967920199,NA,NA,0.41196055817,NA,0.13488757458,NA,990
"68",215,"Rni","RDNI3",381313.75,"ON",177.87566334,15.256152802,7.9713671301,15.090868633,144504,NA,31.522119062,57.067056925,NA,2.972857729,0.11926809857,34.134153612,0.79525147237,0.12975249554,5145
"69",28,"Brasilagro","AGRO3",402530.336,"ON",273.74639051,1.6940713574,1.3909305347,-3.7603645588,556,NA,4.3354763113,3.6381546679,NA,3.0545173231,0.2177029188,19.086470343,0.13065566808,0.43531673042,0
"70",77,"Duratex","DTEX3",409177.5,"ON",784.26196807,15.554566162,6.6617237131,13.809890864,200635,NA,80.898857202,39.247416777,NA,2.2549896893,0.10910922478,17.280064218,0.18557850437,0.15676068497,20073
"71",133,"Iochp-Maxion","MYPK3",415030,"ON",693.92861695,68.942265272,18.881556145,30.34197465,356970,4774.594483,77.999580076,90.684000579,162.95956159,5.3304014064,0.16406322728,50.817497088,0.77404375214,0.1003321466,58021
"72",62,"Coteminas","CTNM4",426269.5,"PN",-32.050097738,-4.4975605016,-2.9787410968,1.8600835922,429574,-91.518987572,29.774046063,43.705525735,85.270303924,6.1247386578,0.38520851365,3.5017687075,5.3944526448,-0.036703664149,23509
"73",49,"Cia Hering","HGTX3",428180.38,"ON",1928.1963825,13.713639043,5.4449888101,13.720600166,238530,99.532568599,59.761914569,210.46781026,3.4892083642,8.4044833438,0.4280936473,53.382027434,0.16808771942,0.086496444281,23390
"74",152,"Log-In","LOGN3",432369.68295,"ON",-1.6454142598,14.170810054,10.594965035,17.455743704,89867,NA,5.7615624351,-37.118902439,NA,14.52291047,0.020109396286,5.858029382,0.67261285427,-0.0006430375093,30574
"75",81,"Eletropar","LIPR3",440536,"ON",139.28822534,9.0331543192,5.3126089772,6.4104035333,0,266.73506026,0,-38.821621214,16.838667994,11.717827234,NA,22.35446988,0.63484499169,0.33734039729,11454
"76",249,"Tenda","TEND3",464756.32,"ON",NA,-5.4114417954,-2.4746280836,-11.965638043,167396,NA,11.904145504,122.41582293,NA,NA,NA,NA,6.3942543289,NA,26840
"77",224,"Saraiva Livr","SLED4",492455.12,"PN",-79.687735306,25.47141458,10.555930842,33.611527934,509233,331.46573301,19.092226955,436.93190454,161.32546545,8.7219250432,-0.40721488937,710.95193563,0.83554334563,-0.14737563538,25186
"78",242,"Tecnisa","TCSA3",494479,"ON",-21.017995039,10.736750814,5.7504577952,4.6290972515,172946,NA,32.633603941,30.490007796,NA,24.261978571,-0.3524659377,148.76416149,2.0290856811,-0.020685420336,7449
"79",165,"Metal Leve","LEVE3",502491,"ON",NA,11.158932879,3.5515513505,14.297069266,478468,-64.60565071,122.09492276,46.311095536,88.154758133,4.4968904062,0.35028781009,78.130911025,0.51374003668,NA,178119
"80",98,"Even","EVEN3",517650.087,"ON",611.30163511,10.639986563,4.1732298153,8.6212649931,275642,NA,70.266804478,43.366884668,NA,1.8720670941,0.18746916335,14.752074945,0.12931296881,0.20566642627,0
"81",233,"Springs","SGPS3",535803.31,"ON",-14.761136395,-19.353746457,-11.356245787,-3.106232792,353008,NA,37.656250392,-40.898069119,NA,5.3592185292,0.036249112287,4.620251835,4.4935757614,-0.01226761056,0
"82",266,"Valid","VLID3",543553.635,"ON",191.92184961,20.783177837,8.1539453256,25.332912957,177336,NA,55.335947231,66.296269931,NA,8.1182133464,-0.0042304586856,89.073880387,0.15149214109,0.20454134813,26298
"83",184,"Odontoprev","ODPV3",578795,"ON",1448.8286467,24.242304362,16.266476329,112.97938326,177129,NA,0,-28.856878249,NA,4.0001352198,0.45346997825,37.493156897,0.054470427645,0.16758345154,31338
"84",128,"Inds Romi","ROMI3",579659.6,"ON",212.86786917,17.452028921,6.8451856578,7.4641630545,279574,96.112361368,120.07835383,17.71617407,376.12720172,2.9335373964,0.22209130207,29.134745803,0.27032832327,0.068929409168,2073
"85",154,"Lojas Marisa","AMAR3",590409.6,"ON",410.27977437,8.920051246,3.3359202491,10.272141313,685615,NA,67.534595106,250.14554388,NA,6.9773906693,0.075787246837,22.474937712,0.16254404226,0.058302754837,102083
"86",209,"RaiaDrogasil","RADL3",590600,"ON",3689.0443459,13.88608488,8.5834958964,21.658271822,294158,464.52868271,11.391083354,-56.300011802,258.59959579,27.683658224,0.78419368327,3.7265135973,0.087139807649,0.33462850205,3796
"87",202,"Positivo Tec","POSI3",593234.4,"ON",74.213144358,NA,11.718975396,NA,540898,NA,17.430777409,206.81345505,NA,4.3295193003,-0.063016429556,27.020080625,0.63291789422,0.05153210979,98123
"88",102,"Ferbasa","FESA4",596775.2,"PN",456.59770492,58.316072908,34.170728229,63.528003325,454325,323.03469809,0.52654040258,-107.14159522,136.89455072,5.2145884697,0.26560857725,41.038739024,1.2950129412,0.15551442231,6980
"89",14,"Atmasa","ATMP3",603001,"ON",-99.780393986,31.835469202,9.3092881334,48.254032197,284081,NA,76.540240258,-105.76910531,NA,5945.782353,-0.37558560748,114228.59581,683.73571267,-0.30448153258,64151
