"","id","nome","classe","ticker","retorno_total","mkt_cap","ROE","ROA","ROIC","lucro_bruto","LPA_growth","alav_BS","EBIT_DivLiq","ativo_growth","desvpad_ret","sharpe_economatica","div_yld","LPA_se","sharpe_calc","provisoes","size"
"169",266,"Valid","ON","VLID3",191.92184961,543553.635,20.783177837,8.1539453256,25.332912957,177336,NA,55.335947231,66.296269931,NA,8.1182133464,-0.0042304586856,89.073880387,0.15149214109,0.20454134813,26298,"small"
"170",267,"Viavarejo","ON","VVAR3",868.76132904,625210.2,2.2834645669,0.68625114745,4.3226904693,999203,345.95311904,77.895401715,17.463803939,61.303509021,2.1060942592,0.92314748207,2.9089653079,0.068869048913,0.12961812972,112014,"large"
"171",269,"Viver","ON","VIVR3",-99.817585282,156670.8,-10.349120985,-4.4974703454,-3.3904260216,129314,NA,59.543582221,-16.98681873,NA,914.64292273,0.013724294333,0,15.189571173,-0.61804393431,18310,"small"
"172",270,"Vulcabras","ON","VULC3",-46.592089366,1294300,78.757810297,12.002702843,19.024023543,635006,1982.2176182,181.33171161,33.929216498,595.84832322,5.8461854796,0.73393935666,23.232597642,1.0084823413,-0.03308240748,93498,"large"
"173",271,"Weg","ON","WEGE3",1125.6175059,7720334.1125,30.771980139,9.9327290485,33.841441802,1568110,79.97456185,97.311700866,266.18057472,200.15083521,5.8792646147,0.61638068297,4.6961624499,0.05118793783,1.2252727185,0,"large"
"174",272,"Wetzel S/A","ON","MWET3",NA,68325.6,NA,5.8954706702,14.662360264,57833,217.53784358,-603.4921012,51.261394432,96.660234526,22.353036348,NA,0,2.6398647277,NA,6335,"small"
"175",273,"Whirlpool","PN","WHRL4",888.67173431,4332946.55,38.159373249,17.756630513,30.699803961,1855442,790.75274394,6.1009311979,2223.9302694,-2.763423092,1.131842797,0.60372294426,66.426629681,0.17674051737,0.41972375203,163743,"large"
"176",274,"Wilson Sons","ON","WSON33",499.94902296,779026.8,NA,7.6935226517,NA,329466,NA,55.757335305,1936.8915246,NA,7.8845824213,0.36192412377,31.966874237,NA,0.25131626927,19759,"large"
"177",275,"Wlm Ind Com","ON","WLMM3",NA,213685.9051,31.602881001,19.989553396,41.772875781,128513,637.53630589,0.67180705368,-68.056684727,34.605295516,2.6548441196,NA,25.076282353,1.8931821415,NA,23324,"small"
"178",276,"Yduqs Part","ON","YDUQ3",1473.027419,982312.5,9.2839733976,5.9315823069,6.540891419,349175,NA,2.748441489,-10.48343947,NA,9.0070602656,0.57376093124,19.96945069,0.029098628755,0.32774545101,20166,"large"
