"","X","id","nome","ticker","mkt_cap","classe","retorno_total","ROE","ROA","ROIC","lucro_bruto","LPA_growth","alav_BS","EBIT_DivLiq","ativo_growth","desvpad_ret","sharpe_economatica","div_yld","LPA_se","sharpe_calc","provisoes","portfolio","retorno_an"
"117",28,51,"Coelba","CEEB3",5826403.0273,"ON",154.31666104,54.313670856,19.235527054,25.38066833,1297753,420.47946653,98.290588859,85.907434862,2.3710012253,6.1074891712,NA,58.079512116,1.2423472758,0.1409663945,63485,"largefolio",9.78360337049573
"118",29,48,"Cesp","CESP6",4458341.5678,"PNB",284.87842204,-22.776047736,-13.783563543,-6.2280951952,1160921,-207.18863088,49.286251139,-47.586351596,-13.789565117,4.2750662521,0.1680405755,54.33903209,4.4831740811,0.21193544042,1119422,"largefolio",14.4280129186082
"119",30,145,"Light S/A","LIGT3",4457992.3871,"ON",115.57412623,36.518962294,10.298632472,11.770852114,1754739,137.1379917,77.412629864,76.765350773,21.385973287,3.3467264548,0.083928196878,100.83646433,7.0853278694,0.17186775894,1182482,"largefolio",7.98406281977451
"120",31,273,"Whirlpool","WHRL4",4332946.55,"PN",888.67173431,38.159373249,17.756630513,30.699803961,1855442,790.75274394,6.1009311979,2223.9302694,-2.763423092,1.131842797,0.60372294426,66.426629681,0.17674051737,0.41972375203,163743,"largefolio",25.7491944964429
"121",32,153,"Lojas Americ","LAME4",4306071.99,"PN",775.39179051,26.563748829,1.7587109205,20.541880133,2233779,-30.534727366,1043.9986687,34.771151387,261.33138369,4.7516579458,0.29256010678,2.8645246764,0.029910061033,0.46973458169,184662,"largefolio",24.2282155527544
"122",33,54,"Comgas","CGAS5",3861122.73,"PNA",1483.8110919,47.75266286,12.811029679,22.969561829,1366336,406.1336545,139.32780514,54.304700934,78.70684111,17.432387877,0.84358807049,33.460825562,1.2020875762,0.33406805235,187997,"largefolio",31.8166705686751
"123",34,238,"Suzano S.A.","SUZB3",3705778.44,"ON",NA,-10.276487958,-3.4827235511,6.4989159606,1416360,-164.6033824,204.32809095,17.181902317,116.02894527,NA,NA,NA,1.1124988906,NA,272719,"largefolio",NA
"124",35,59,"Cosan","CSAN3",3677784.2,"ON",808.76229678,NA,NA,NA,NA,NA,NA,NA,NA,10.845959187,0.3470393275,13.75658723,NA,0.34925327577,NA,"largefolio",24.6938487920166
"125",36,141,"Klabin S/A","KLBN11",3520171.15,"UNT N2",NA,-11.828283729,-4.1182208634,4.2678723207,809913,-135.41303193,239.60111455,8.6671179054,115.48809929,NA,0.2219481374,NA,0.097355716249,NA,0,"largefolio",NA
"126",37,69,"Cyrela Realt","CYRE3",3272660.8,"ON",358.82175559,14.344027357,4.3075206189,8.112590782,1082580,322.74429634,85.810297397,36.40404937,1110.6804157,3.8506273008,0.084138795079,25.860192119,0.36915081124,0.18353837318,187351,"largefolio",16.4566787525146
"127",38,86,"Energias BR","ENBR3",3129304.0455,"ON",449.83653924,10.670893851,4.6970414609,8.1937545402,1546621,240.01163045,59.653021391,36.15275857,53.382209891,3.5073248063,0.25355021708,41.591227032,0.613382087,0.40997060871,319933,"largefolio",18.5832529759092
